label	sentence
neutral	The new location is n't the only change Wellmont has in store for its air transport service .
neutral	The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .
neutral	Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .
positive	As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .
neutral	SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch
positive	ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .
neutral	As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 .
negative	The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .
positive	One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .
neutral	Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .
neutral	Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports .
negative	Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .
positive	Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .
neutral	The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .
positive	Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .
positive	There has been some recovery of the base metals prices and increased demand for metals in China , however .
positive	The Finnish group anticipates a sales gain of EUR42m after tax and expenses .
negative	Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .
neutral	CompaniesandMarkets.com provides a wide range of research reports , industry statistics and competitive intelligence on the industrial sector .
neutral	The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .
negative	Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .
neutral	According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .
neutral	The phones are targeted at first time users in growth markets .
positive	Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .
neutral	Nordic Walking was first used as a summer training method by cross-country skiers .
negative	In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .
neutral	Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .
positive	Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .
negative	Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '
negative	`` Adjustment to the fall in price level , in contrast , has been less effective .
negative	`` Those uncertainties cloud the long-term outlook . ''
positive	HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .
negative	Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .
neutral	It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .
neutral	For 2009 , Incap expects revenue of some EUR 70 million .
positive	The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .
neutral	As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .
neutral	Outotec is currently delivering a new oil shale processing plant for Eesti Energia in Estonia based on Enefit technology , which has been developed jointly by Eesti Energia and Outotec .
neutral	Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .
positive	With the acquisition , the company will expand its offering to North , Central and South America , it said .
neutral	CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .
positive	The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .
positive	Viking Line manages well with its current ferries .
negative	The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .
positive	Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit .
neutral	The connectivity unit has more than 100 e-invoice customers , and the number of annual transactions stands at nearly one million .
positive	Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .
neutral	Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .
neutral	When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .
positive	This combined with foreign investments creates interesting opportunities for Solteq .
negative	The company said that the fall in turnover had been planned .
positive	Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .
positive	Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .
